url,redirect_url
http://dbpedia.org/resource/Albert_Medal_(Royal_Society_of_Arts),http://dbpedia.org/page/Albert_Medal_(Royal_Society_of_Arts)
http://dbpedia.org/resource/Albert_Medal_(RSA),http://dbpedia.org/page/Albert_Medal_(Royal_Society_of_Arts)
http://dbpedia.org/resource/Albert_of_Saxony_(philosopher),http://dbpedia.org/page/Albert_of_Saxony_(philosopher)
http://dbpedia.org/resource/Albert_Potter_Wills,http://dbpedia.org/page/Albert_Potter_Wills
http://dbpedia.org/resource/Albert_Schweizer,http://dbpedia.org/page/Albert_Schweitzer
http://dbpedia.org/resource/Alberta,http://dbpedia.org/page/Alberta
http://dbpedia.org/resource/Alberto_Güijosa,http://dbpedia.org/page/Alberto_Güijosa
http://dbpedia.org/resource/Albertus_Magnus,http://dbpedia.org/page/Albertus_Magnus
http://dbpedia.org/resource/Albertus_Magnus__Albertus_Magnus__1,http://dbpedia.org/page/Albertus_Magnus__Albertus_Magnus__1
http://dbpedia.org/resource/Al-Biruni,http://dbpedia.org/page/Al-Biruni
http://dbpedia.org/resource/Albuquerque,"http://dbpedia.org/page/Albuquerque,_New_Mexico"
http://dbpedia.org/resource/Alchemy,http://dbpedia.org/page/Alchemy
http://dbpedia.org/resource/Alcmaeon_of_Croton,http://dbpedia.org/page/Alcmaeon_of_Croton
http://dbpedia.org/resource/Alcubierre_drive,http://dbpedia.org/page/Alcubierre_drive
http://dbpedia.org/resource/Aldo_Pontremoli,http://dbpedia.org/page/Aldo_Pontremoli
http://dbpedia.org/resource/Aleksandr_Andronov,http://dbpedia.org/page/Aleksandr_Andronov
http://dbpedia.org/resource/Aleksandr_Danilovich_Aleksandrov,http://dbpedia.org/page/Aleksandr_Danilovich_Aleksandrov
http://dbpedia.org/resource/Aleksei_Markushevich,http://dbpedia.org/page/Aleksei_Markushevich
http://dbpedia.org/resource/Alex_Stokes,http://dbpedia.org/page/Alex_Stokes
http://dbpedia.org/resource/Alexander_Agassiz_Medal,http://dbpedia.org/page/Alexander_Agassiz_Medal
http://dbpedia.org/resource/Alexander_Alexandrovich_Friedman,http://dbpedia.org/page/Alexander_Friedmann
http://dbpedia.org/resource/Alexander_Dalgarno,http://dbpedia.org/page/Alexander_Dalgarno
http://dbpedia.org/resource/Alexander_Dobrokhotov,http://dbpedia.org/page/Alexander_Dobrokhotov
http://dbpedia.org/resource/Alexander_Its,http://dbpedia.org/page/Alexander_Its
http://dbpedia.org/resource/Alexander_Kuzemsky,http://dbpedia.org/page/Alexander_Kuzemsky
http://dbpedia.org/resource/Alexander_Macfarlane,http://dbpedia.org/page/Alexander_Macfarlane
http://dbpedia.org/resource/Alexander_Polnarev,http://dbpedia.org/page/Alexander_Polnarev
http://dbpedia.org/resource/Alexander_S._Onassis_Foundation,http://dbpedia.org/page/Alexander_S._Onassis_Foundation
http://dbpedia.org/resource/Alexander_Starikov,http://dbpedia.org/page/Alexander_Starikov
http://dbpedia.org/resource/Alexander_von_Brill,http://dbpedia.org/page/Alexander_von_Brill
http://dbpedia.org/resource/Alexander_Weinstein,http://dbpedia.org/page/Alexander_Weinstein
http://dbpedia.org/resource/Alexandre_Kojève,http://dbpedia.org/page/Alexandre_Kojève
"http://dbpedia.org/resource/Alexandria,_Virginia","http://dbpedia.org/page/Alexandria,_Virginia"
http://dbpedia.org/resource/Alexandru_Proca,http://dbpedia.org/page/Alexandru_Proca
http://dbpedia.org/resource/Alexei_Alexeyevich_Abrikosov,http://dbpedia.org/page/Alexei_Alexeyevich_Abrikosov
http://dbpedia.org/resource/Alexei_Fridman,http://dbpedia.org/page/Alexei_Fridman
http://dbpedia.org/resource/Alexei_Starobinsky,http://dbpedia.org/page/Alexei_Starobinsky
http://dbpedia.org/resource/Alexis_de_Tocqueville,http://dbpedia.org/page/Alexis_de_Tocqueville
http://dbpedia.org/resource/Alfred_Goldhaber,http://dbpedia.org/page/Alfred_Goldhaber
http://dbpedia.org/resource/Alfred_Kastler,http://dbpedia.org/page/Alfred_Kastler
